127.0.0.1 - - [21/Jun/2017:10:27:24 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [21/Jun/2017:10:27:26 -0300] "GET /BodyVIP/home.jsp HTTP/1.1" 200 2764
0:0:0:0:0:0:0:1 - - [21/Jun/2017:10:27:26 -0300] "GET /BodyVIP/css/style.css HTTP/1.1" 200 5999
0:0:0:0:0:0:0:1 - - [21/Jun/2017:10:27:26 -0300] "GET /BodyVIP/imagens/pattern.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:10:27:26 -0300] "GET /BodyVIP/imagens/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:10:27:34 -0300] "GET /BodyVIP/home.jsp HTTP/1.1" 200 2764
0:0:0:0:0:0:0:1 - - [21/Jun/2017:10:27:34 -0300] "GET /BodyVIP/css/style.css HTTP/1.1" 200 5999
0:0:0:0:0:0:0:1 - - [21/Jun/2017:10:27:34 -0300] "GET /BodyVIP/imagens/pattern.png HTTP/1.1" 200 71387
0:0:0:0:0:0:0:1 - - [21/Jun/2017:10:27:34 -0300] "GET /BodyVIP/imagens/banner.jpg HTTP/1.1" 200 28308
0:0:0:0:0:0:0:1 - - [21/Jun/2017:10:27:34 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [21/Jun/2017:10:27:34 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [21/Jun/2017:10:28:18 -0300] "GET /BodyVIP/AlunoController?acao=cadastro HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [21/Jun/2017:10:28:20 -0300] "GET /BodyVIP/AlunoController?acao=buscaLista HTTP/1.1" 200 2334
0:0:0:0:0:0:0:1 - - [21/Jun/2017:10:28:22 -0300] "GET /BodyVIP/ProfessorController?acao=cadastro HTTP/1.1" 200 2306
0:0:0:0:0:0:0:1 - - [21/Jun/2017:10:28:24 -0300] "GET /BodyVIP/ProfessorController?acao=buscaLista HTTP/1.1" 200 2294
0:0:0:0:0:0:0:1 - - [21/Jun/2017:10:28:29 -0300] "GET /BodyVIP/TurmaController?acao=buscaLista HTTP/1.1" 200 2080
0:0:0:0:0:0:0:1 - - [21/Jun/2017:10:28:35 -0300] "GET /BodyVIP/TurmaController?acao=cadastro HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [21/Jun/2017:10:29:29 -0300] "GET /BodyVIP/ProfessorController?acao=cadastro HTTP/1.1" 200 2306
